"ID","Fecha registro","Estado","Municipio","Escolaridad","Edad","Estado civil","Sexo","Vínculo con la víctima"
"278526","2018-05-29","Veracruz Ignacio de la Llave","Zozocolco de Hidalgo","Primaria","23","No identificado","Hombre","Ex pareja"
"289091","2018-03-20","Veracruz Ignacio de la Llave","Cerro Azul","Preparatoria","40","No identificado","Hombre","Cónyuge o pareja"
"295437","2018-02-28","Veracruz Ignacio de la Llave","Veracruz","Preparatoria","65","Soltero","Hombre","Ex pareja"
"295662","2018-05-11","Veracruz Ignacio de la Llave","Veracruz","Preparatoria","38","Concubinato","Hombre","Cónyuge o pareja"
"306306","2018-04-03","Veracruz Ignacio de la Llave","Xalapa","Secundaria","65","Concubinato","Hombre","Ex pareja"
"306948","2018-12-12","Veracruz Ignacio de la Llave","Veracruz","Licenciatura","33","Casado","Hombre","Cónyuge o pareja"
"307479","2018-05-31","Veracruz Ignacio de la Llave","Veracruz","Licenciatura","0","Casado","Hombre","Cónyuge o pareja"
"330724","2018-02-28","Veracruz Ignacio de la Llave","Ignacio de la Llave","No identificado","0","No identificado","Desconocido","Desconocido"
"331576","2018-04-04","Veracruz Ignacio de la Llave","Veracruz","No identificado","0","No identificado","Desconocido","Desconocido"
"332370","2018-05-19","Veracruz Ignacio de la Llave","Xalapa","No identificado","0","No identificado","Desconocido","Desconocido"